ID,MHG_ID,SUBCAMP,MAIN,WOMEN,MEN,GENDER,FIRMS,YYYY_OPEN,MM_OPEN,DD_OPEN,OPEN_TXT,YYYY_CLOSE,MM_CLOSE,DD_CLOSE,CLOSE_TXT,PRISONERS,DATE_OPEN,DATE_CLOSE,PEAK_POP,FUNC_1,FUNC_2,HOW_FOUND,SHARE_LOC,LAT,LONG,NATIONS,ENCY_REF,LABOR,EDIT_NOTES,FIRMABBREV
10-0757-0,1135,Palemonas,Kauen,0,0,0,,,,,,44,07,07,"""Evacuated July 7, 1944""",,"""1899-11-30T00:00:00.000Z""","""1944-07-07T00:00:00.000Z""",150,6,5,,0,54.91096,24.050494,,"Encyclopedia of Camps, Volume 1 pg 857",Prisoners were employed cutting peat or in a brick factory,,
12-0111-0,1144,Blizyn,Lublin,2,1,3,"Ostindustrie GmbH, later Deutsche Ausrustungswerke GmbH (DAW), Deutsch Erd- und Steinwerke GmbH (DESt)",43,03,08,"""March 8, 1943""",44,07,30,"""Last prisoners evacuated by July 30, 1944""",,"""1943-03-08T00:00:00.000Z""","""1944-07-30T00:00:00.000Z""",5500,4,2,,0,51.1167,20.75,,Encyclopedia of Ghettos and Camps p. 880,worked in armaments factory and quarry,,DAW
01-0507-0,530,Kobier,Auschwitz,0,0,0,Pszczyna Forest Management Agency,42,,,"""Fall 1942""",43,08,28,"""August 28, 1943""","Mostly Jews, some Poles, Russians and Germans","""1942-09-01T00:00:00.000Z""","""1943-08-28T00:00:00.000Z""",150,2,0,,0,50.066699,18.95,"Polish Jews, French, Belgian, Czech, German,Russian","Encyclopedia of Camps, Volume 1 pg 257",Used by Pszczyna Forest Management agency for logging trees in the forest and preparing them for processing,,
01-0540-0,531,Lagischa,Auschwitz,0,0,0,Energie – Versorgung Oberschlesien,43,09,08,"""September 8, 1943""",45,01,,"""January 1945?""","Mostly Polish and French Jews, some Poles and Russians","""1943-09-08T00:00:00.000Z""","""1945-01-15T00:00:00.000Z""",725,3,0,,0,50.349998,19.1333,"Polish, French, Russian","Encyclopedia of Camps, Volume 1 pg 259",German companies used prisoners to construct a power plant,,
01-0559-0,532,Laurahütte,Auschwitz,0,0,0,Oberschlesische Gerätebau GmbH,41,,,"""Late March or Early April 1941""",45,01,23,,Jewish,"""1941-04-01T00:00:00.000Z""","""1945-01-23T00:00:00.000Z""",937,4,0,,0,50.299999,19.0333,"French, Belgian, Dutch","Encyclopedia of Camps, Volume 1 pg 261",Manufactured anti aircraft guns for the navy; generally skilled labor,,
01-0578-2,533,Lichtewerden,Auschwitz,2,0,2,G.A. Buhl u Sohn,44,11,11,"""November 11, 1944""",45,05,08,,Jewish,"""1944-11-11T00:00:00.000Z""","""1945-05-08T00:00:00.000Z""",300,5,0,,0,50.049999,17.4167,"Czech, Polish, Slovak","Encyclopedia of Camps, Volume 1 pg 263",Prisoners worked in a thread factory in yarn-winding or linen spinning mill,,
01-0700-3,535,Neu-Dachs,Auschwitz,2,1,3,Energieversorgung Oberschlesien Akiengesellschaft,43,06,15,"""June 15, 1943""",45,01,,"""January 1945""","Jewish, some Poles","""1943-06-15T00:00:00.000Z""","""1945-01-15T00:00:00.000Z""",3664,9,3,,0,50.1333,19.2667,"Greek, Polish, Yugoslavs, Hugnary, Czech, French, German","Encyclopedia of Camps, Volume 1 pg 264","Prisoners mined hard coal, others worked in construction",,
01-0712-2,536,Neustadt O/S,Auschwitz,2,0,2,Schlesische Feinweberei,44,09,,"""September 1944""",45,01,19,,Jewish,"""1944-09-15T00:00:00.000Z""","""1945-01-19T00:00:00.000Z""",0,5,0,,0,50.316699,17.583299,,"Encyclopedia of Camps, Volume 1 pg 266",Prisoners worked in the weaving area of a textile mill,,
01-0776-3,537,"Plawy [aka Wirtschaftshof Plawy, Gut Plawy]",Auschwitz,2,1,3,,45,01,03,"""January 3, 1945?""",45,01,17,,Mostly Russian and Jewish,"""1945-01-03T00:00:00.000Z""","""1945-01-17T00:00:00.000Z""",338,6,0,,0,50.033298,19.149999,"Polish, Hungarian, Russian","Encyclopedia of Camps, Volume 1 pg 266",Prisoners worked on a farm with horses and dairy cows in the Auschwitz zone of influence,,
01-0801-0,1624,Radostowitz,Auschwitz,0,0,0,Pless Forestry Management Office,42,,,"""1942""",43,,,"""1943""",Jewish,"""1899-11-30T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",20,2,0,,0,50.0167,18.899999,,"Encyclopedia of Camps, Volume 1 pg 268",Prisoners logged trees under the Pless Forestry Management Office that were used for open-pit cremations,,
01-0803-3,538,Rajsko,Auschwitz,2,1,3,IG Farben,43,06,12,"""June 12, 1943""",45,01,18,,Jewish,"""1943-06-12T00:00:00.000Z""","""1945-01-18T00:00:00.000Z""",450,6,3,,0,50.0167,19.1833,"Polish, Russian","Encyclopedia of Camps, Volume 1 pg 268","Worked to repair evacuated Polish village in preparation for SS farm; demolition work, building dikes, cleaning fishponds, draining fields, building roads",,IG Farben
01-0910-0,539,Sosnowitz (OSMAG),Auschwitz,0,0,0,,43,08,,"""August 1943""",44,02,,"""February 1944""","Mostly Polish, some Jews and Germans","""1943-08-15T00:00:00.000Z""","""1944-02-15T00:00:00.000Z""",100,3,0,,0,50.299999,19.1667,"Poles, Polish And French Jews, Germans","Encyclopedia of Camps, Volume 1 pg 270","Skilled labor prisoners repaired a building with bricklayers, paintiners, carpenters, cabinetmakers etc",,
12-0794-0,1156,Pulawy [aka Pulawy Stadt],Lublin,0,0,0,,43,,,"""Summer 1943""",44,07,22,"""Camp closed July 22, 1944""",,"""1943-06-01T00:00:00.000Z""","""1944-07-22T00:00:00.000Z""",400,2,0,,0,51.4167,21.9667,,Encyclopedia of Ghettos and Camps p. 891,worked in sawmill,,
15-0369-0,1252,Guttenbach [also Binau and Neunkirchen (Fahrbereitschaft)],Natzweiler,0,0,0,,44,11,23,"""November 23, 1944""",45,,,"""Evacuated end of March, 1945""",,"""1944-11-23T00:00:00.000Z""","""1945-04-01T00:00:00.000Z""",32,6,0,,0,49.3896,9.0749,,Encylopedia of Camps and Ghettos p. 1034,worked in the command office and on farms; inmates employed at Binau worked in the administration and clothing storage depot,,
15-0615-0,1265,Markirch,Natzweiler,0,0,0,,44,03,13,"""First mentioned March 13, 1944""",44,09,,"""Evacuated September 1944""",,"""1944-03-13T00:00:00.000Z""","""1944-09-15T00:00:00.000Z""",1650,3,0,,0,48.2473,7.1847,,Encylopedia of Camps and Ghettos p. 1044,prepared unused railway tunnels production site for aircraft engines,,
17-0279-0,1380,Feldberg,Ravensbrück,0,0,0,,43,,,"""Probably middle of 1943""",43,,,"""1943""",,"""1943-06-15T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",1,3,0,,0,53.3333,13.45,,Encyclopedia of Camps and Ghettos p. 1202,worked for SS doing carpentry work and building,,
01-0911-0,540,Sosnowitz II,Auschwitz,0,0,0,Ost-Maschinenbau GmbH company,44,05,,"""May 1944""",45,01,,"""January 1945""","Jewish, some Poles, Russians, Germans, and French","""1944-05-15T00:00:00.000Z""","""1945-01-15T00:00:00.000Z""",900,4,0,Could only find city center,0,50.2863,19.1041,"Polish, French, Belgian, Itailan, Greek, Yugoslavs, Russians","Encyclopedia of Camps, Volume 1 pg 270",Prisoners manufactured anti-aircraft guns and shells,,
01-0970-0,541,Trzebinia,Auschwitz,0,0,0,German Erdöl Raffinerie Trzebinia G.m.b.H. petroleum refinery,44,08,,"""August 1944""",45,01,17,"""Jaunuary 17or 18, 1945""",Jewish,"""1944-08-15T00:00:00.000Z""","""1945-01-17T00:00:00.000Z""",800,9,3,,0,50.166698,19.483299,"Hungarian, Polish","Encyclopedia of Camps, Volume 1 pg 271","Prisoners worked mainly to expand an existing refinery; bricklaying, constructing sewers, digging ditches",,
01-0971-0,542,Tschechowitz (Bombensucherkommando),Auschwitz,0,0,0,,44,08,,"""After bombing on August 20, 1944""",44,09,,"""Early September 1944""","Jewish, originally German Prisoners","""1944-08-25T00:00:00.000Z""","""1944-09-01T00:00:00.000Z""",70,7,0,,0,49.916698,19.0167,"Hungarian, Polish, German, French","Encyclopedia of Camps, Volume 1 pg 273",Prisoners removed unexploded bombs from railroads near Auschwitz,,
01-0972-0,543,Tschechowitz [aka Tschechowitz-Vacuum],Auschwitz,0,0,0,,44,09,,"""September 1944""",45,01,18,,Jewish,"""1944-09-15T00:00:00.000Z""","""1945-01-18T00:00:00.000Z""",596,3,0,"Unsure of the exact location, point is the same as that for the other Tsche",0,50,19.016701,"Hungarian, Polish, Czech","Encyclopedia of Camps, Volume 1 pg 274","Prisoners worked at a petroleum refinery demolishing the ruins of bombed structure, doing bricklaying, concrete work, and repai",,
02-0121-2,545,Bomlitz [aka Benefeld],Bergen-Belsen,2,0,2,EIBIA & Wolff,44,09,03,"""September 3, 1944""",44,10,,"""October 1944""",Jewish,"""1944-09-03T00:00:00.000Z""","""1944-10-15T00:00:00.000Z""",600,4,3,,0,52.900001,9.649999,Polish,"Encyclopedia of Camps, Volume 1 pg 282","Worked in a gunpowder and arms factory , also laid track for the factory railway",,
02-0382-2,546,Hambühren [aka Hambühren-Ovelgönne or Waldeslust],Bergen-Belsen,2,0,2,Focke-Wulf Flugzeugbau,44,08,23,"""August 23, 1944""",45,02,04,"""February 4, 1945""","Jewish, POW","""1944-08-23T00:00:00.000Z""","""1945-02-04T00:00:00.000Z""",400,3,0,,0,52.6333,9.9833,"Polish, Hungarian","Encyclopedia of Camps, Volume 1 pg 284",Deployed underground to convert a potash mine into an aircraft factory,,
02-0979-2,547,Unterlüß [aka Lager Tannenberg or Altensothrieth],Bergen-Belsen,2,0,2,,44,08,,"""End of August, 1944""",45,04,13,"""April 13, 1945""",Jewish,"""1944-08-31T00:00:00.000Z""","""1945-04-13T00:00:00.000Z""",900,7,0,,0,52.833301,10.2833,"Polish, Hungarian, Yugoslavian","Encyclopedia of Camps, Volume 1 pg 286",Inmates built bunkers at an ammunition factory and later in the factory itself,,
04-0001-1,548,Abteroda (men),Buchenwald,0,1,1,Bayerische Motorenwerke,44,07,,"""July 1944""",45,04,,"""April 1945""",Jewish,"""1944-07-15T00:00:00.000Z""","""1945-04-15T00:00:00.000Z""",230,4,0,,1,50.900001,10.066699,"French, Russian, German, Italian, Polish","Encyclopedia of Camps, Volume 1 pg 300",BMW-- made aircraft engine parts. underground and above. rented by BMW from WVHA at 6 or 4 RM,,BMW
04-0001-2,548,Abteroda (women),Buchenwald,2,0,2,Bayerische Motorenwerke,44,10,,"""October 1944""",45,04,,,Jewish,"""1944-10-15T00:00:00.000Z""","""1945-04-01T00:00:00.000Z""",225,4,0,,1,50.900001,10.066699,French,"Encyclopedia of Camps, Volume 1 pg 301",BMW-- production of chemicals for blasting agents,,BMW
04-0006-2,549,Allendorf [aka Münchmühle],Buchenwald,2,0,2,,44,08,,"""August 1944""",44,03,,"""March 1944""",Jewish,"""1944-08-15T00:00:00.000Z""","""1944-03-15T00:00:00.000Z""",1000,4,6,,0,50.828098,9.0178,"Hungarian, Polish, German","Encyclopedia of Camps, Volume 1 pg 301","Allendorf factory; women did laundry, tailoring, filled explosives on assembly lines",,
04-0011-1,550,Altenburg (men),Buchenwald,0,1,1,Hugo Schneider AG,44,11,27,"""November 27, 1944""",45,04,,,Jewish,"""1944-11-27T00:00:00.000Z""","""1945-04-12T00:00:00.000Z""",195,4,0,,1,50.983299,12.449999,"German, Polish, Latvian, Hungarian","Encyclopedia of Camps, Volume 1 pg 304",Armaments-- assembled anti-tank grenades and shell casings,,Schneider
17-0708-0,1393,Neustadt-Glewe,Ravensbrück,0,0,0,,44,09,01,"""September 1, 1944""",45,05,02,"""Occupied by the Red Army, May 2, 1945""",,"""1944-09-01T00:00:00.000Z""","""1945-05-02T00:00:00.000Z""",5000,4,7,,0,53.3833,11.5833,,Encylopedia of Camps and Ghettos p. 1216,worked on air base and in shops of Dornier Works proudcing and repairing airfoils for aircrafts; assembled aircraft engines and under carriages and camouflaged the airfield,,
18-0833-0,1412,"Riga-Strasdenhof [aka SS-Betriebe, Strazdenhof]",Riga-Kaiserwald,0,0,0,,43,08,18,"""First mentioned August 18, 1943""",44,08,06,"""Evacuated August 6, 1944""",,"""1943-08-18T00:00:00.000Z""","""1944-08-06T00:00:00.000Z""",2000,5,3,"Placed point in the center of Riga, could not locate the Widzemer-Chaussee Bridge",1,56.9465,24.1049,,Encyclopedia of Camps and Ghettos p. 1252,manufactured SS uniforms or performed street construction,,
18-0835-0,1414,Riga (Dünawerke),Riga-Kaiserwald,0,0,0,,43,08,18,"""August 18, 1943""",44,,,"""Summer 1944""",,"""1943-08-18T00:00:00.000Z""","""1944-06-01T00:00:00.000Z""",398,3,0,"Placed point in the center of Riga, no more specific info given",1,56.9465,24.1049,,Encyclopedia of Camps and Ghettos p. 1240,construction work for the OT,,
04-0011-2,550,Altenburg (women),Buchenwald,2,0,2,Hugo Schneider AG,44,08,01,"August 1, 1944""",45,04,14,,"Jewish, Political Poles, Soviets, Gypsyies","""1944-08-01T00:00:00.000Z""","""1945-04-14T00:00:00.000Z""",2440,4,0,,1,50.983299,12.449999,"Norwegians, Hungarians, Croatians, French, Russians, Polish, Gypsies","Encyclopedia of Camps, Volume 1 pg 304",Armaments-- assembled anti-tank grenades and shell casings,,Schneider
04-0017-1,551,Annaburg,Buchenwald,0,1,1,Annaburger Geratebau GmbH,45,01,,"""January 1945""",45,03,16,"""March 16, 1945""",Jewish,"""1945-01-15T00:00:00.000Z""","""1945-03-16T00:00:00.000Z""",100,4,0,,0,51.733299,13.0333,"Russian, Polish, French","Encyclopedia of Camps, Volume 1 pg 306",worked at Annaburger Geratebau in construction of aircraft factory division and prisoner barracks,,
